Round_I (1993-1994),Round_II (1997-1999),Round_III (2000)
"Atlanta, GA","Boston, MA","Fresno, CA"
"Baltimore, MD","Cincinnati, OH","Jacksonville, FL"
"Chicago, IL","Columbia, SC","Oklahoma City, OK"
"Detroit, MI","Sumter, SC","Pulaski County, AR"
"New York, NY","Columbus, OH","San Antonio, TX"
"Camden, NJ","Cumberland County, NJ","Syracuse, NY"
"Philadelphia, PA","El Paso, TX","Tucson, AZ"
"Kentucky Highlands, KY","Gary, IN","Yonkers, NY"
"Mid-Delta, MS","Hammond, IN","Aroostook County, ME"
"Rio Grande Valley, TX","East Chicago, IN","Futuro, TX"
"Akron, OH","Ironton, OH","Atlanta, GA"
"Troy, NY","Huntington, WV","Buffalo-Lackawanna, NY"
"Albany, GA","Knoxville, TN","Camden, NJ"
"Schenectady, NY","Miami/Dade County, FL","Charleston, SC"
"Albany, NY","Minneapolis, MN","Chattanooga, TN"
"Albuquerque, NM","New Haven, CT","Chicago, IL"
"Birmingham, AL","Norfolk, VA","Corpus Christi, TX"
"Boston, MA","Portsmouth, VA","Detroit, MI"
"Bridgeport, CT","Santa Ana, CA","Flint, MI"
"Buffalo, NY","St. Louis, MS","Hamilton, OH"
"Burlington, VT","East St. Louis, IL","Lawrence, MA"
"Charleston, SC","Desert Communities, CA","Los Angeles, CA"
"Charlotte, NC","Griggs-Steele, ND","Lowell, MA"
"Cleveland, OH","Oglala Sioux Tribe, SD","Memphis, TN"
"Columbus, OH","Southernmost Illinois Delta, IL","Milwaukee, WI"
"Dallas, TX","Southwest Georgia United, GA","Mobile, AL"
"Denver, CO","Allendale ALIVE, SC","New Orleans, LA"
"Des Moines, IA","Bowling Green, KY","Newark, NJ"
"East St. Louis, IL","City of Deming, NM","Niagara Falls, NY"
"El Paso, TX","Clare County, MI","Ouachita Parish, LA"
"Flint, MI","Clinch-Powell, TN","Philadelphia, PA"
"Harrisburg, PA","Empower Lewiston, ME","Rochester, NY"
"Houston, TX","Empowerment Alliance of Southwest Florida, FL","San Diego, CA"
"Huntington, WV","Fayette, PA","San Francisco, CA"
"Indianapolis, IN","Five Star, WA","Schenectady, NY"
"Jackson, MS","Fort Peck Assiniboine & Sioux Tribe, MT","Tacoma, WA"
"Kansas City, KS","Four Corners, AZ","Yakima, WA"
"Kansas City, MO","FUTURO Communities, TX","Youngstown, OH"
"Las Vegas, NV","Huron-Tule, CA","Burlington, VT"
"Little Rock, AR","Metlakatla Indian Community, AK","Central Louisiana, LA"
"Los Angeles, CA","Molokai, HI","Eastern Kentucky, KY"
"Louisville, KY","Northwoods NiiJii, WI","El Paso County, TX"
"Lowell, MA","Town of Austin, IN","Greene-Sumter, AL"
"Manchester, NH","Tri-County Indian Nations, OK","Jamestown, NY"
"Memphis, TN","Upper Kanawha, WV","Northern Louisiana, LA"
"Miami, FL","Wichita County, KS","Orange Cove, CA"
"Milwaukee, WI",,"Parlier, CA"
"Minneapolis, MN",,"Southern Alabama, AL"
"Muskegon, MI",,"Turtle Mountain Band of Chippewa, ND"
"Nashville , TN",,"West-Central Mississippi, MS"
"New Haven, CT",,
"New Orleans, LA",,
"Newark, NJ",,
"Newburgh, NY",,
"Kingston, NY",,
"Norfolk, VA",,
"Oakland, CA",,
"Ogden, UT",,
"Oklahoma City, OK",,
"Omaha, NE",,
"Ouachita Parish, LA",,
"Phoenix, AZ",,
"Pittsburgh, PA",,
"Portland, OR",,
"Providence, RI",,
"Rochester, NY",,
"San Antonio, TX",,
"San Diego, CA",,
"San Francisco, CA",,
"Seattle, WA",,
"Springfield, IL",,
"Springfield, MA",,
"St. Louis, MO",,
"St. Paul, MN",,
"Tacoma, WA",,
"Tampa, FL",,
"Waco, TX",,
"Washington, DC",,
"Wilmington, DE",,
"Cleveland, OH",,
"Los Angeles, CA",,
"Boston, MA",,
"Houston, TX",,
"Oakland, CA",,
"Northampton County, VA",,
"Accomack County, VA",,
"Arizona Border Region, AZ",,
"Spink County, SD",,
"Beadle County, SD",,
"Central Appalachia, WV",,
"Central Savannah River Area, GA",,
"Chambers County, AL",,
"City of East Prairie, MO",,
"City of Lock Haven, PA",,
"City of Watsonville, CA",,
"Dooly County, GA",,
"Crisp County, GA",,
"East Arkansas, AR",,
"Haywood County, TN",,
"Fayette County, TN",,
"Greater Portsmouth, OH",,
"Greene-Sumter, AL",,
"Halifax County, NC",,
"Edgecombe County, NC",,
"Imperial County, CA",,
"Jackson County, FL",,
"Josephine County, OR",,
"La Jicarita, NM",,
"Lake County, MI",,
"Lower Yakima County, WA",,
"Macon Ridge, LA",,
"McDowell County, WV",,
"Mississippi County, AR",,
"North Delta Mississippi, MS",,
"Northeast Louisiana Delta, LA",,
"Robeson County, NC",,
"Scott, TN",,
"McCreary, KY",,
"Southeast Oklahoma, OK",,
"Williamsburg County, SC",,
"Lake City, SC",,
